id,Language,Language (local),Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
sk,Slovak,Slovenčina,"241,201","547,632","7,384,245",10,"220,144",528,0,22,100000
kk,Kazakh,Қазақша,"231,775","586,651","3,046,498",16,"120,097",236,"10,535",12,100000
et,Estonian,Eesti,"228,622","540,046","6,143,853",33,"167,057",473,755,21,100000
min,Minangkabau,Minangkabau,"225,43","384,719","2,442,532",5,"15,989",40,177,3,100000
be,Belarusian,Беларуская,"219,948","643,859","4,147,602",11,"119,636",274,"3,225",24,100000
simple,Simple English,Simple English,"213,385","694,404","8,296,723",17,"1,214,552","1,048",36,61,100000
hr,Croatian,Hrvatski,"212,315","444,049","6,409,394",11,"276,092",478,"20,906",17,100000
el,Greek,Ελληνικά,"211,434","627,235","9,539,987",22,"366,04","1,056","18,486",59,100000
lt,Lithuanian,Lietuvių,"203,35","498,34","6,613,421",10,"165,422",318,"23,762",28,100000
gl,Galician,Galego,"186,069","470,112","6,117,961",8,"127,424",258,"1,803",30,100000
az,Azerbaijani,Azərbaycanca,"184,865","506,946","6,508,095",17,"249,657",692,"23,729",39,100000
sl,Slovenian,Slovenščina,"176,871","438,317","5,704,257",22,"212,716",343,"8,332",28,100000
ur,Urdu,اردو,"172,566","982,554","4,954,704",11,"147,754",333,"12,233",111,100000
nn,Norwegian (Nynorsk),Nynorsk,"162,473","371,834","3,383,858",14,"121,07",114,16,15,100000
ka,Georgian,ქართული,"161,604","459,103","4,381,024",6,"142,217",235,"14,835",32,100000
hi,Hindi,हिन्दी,"151,865","1,182,221","5,570,929",6,"702,813","1,128","3,571",217,100000
uz,Uzbek,O‘zbek,"150,506","660,126","2,681,363",17,"74,819",547,"2,052",47,100000
th,Thai,ไทย,"148,779","966,845","10,162,000",15,"427,092","1,002","27,266",318,100000
ta,Tamil,தமிழ்,"147,298","463,812","3,446,367",31,"206,151",301,"8,059",34,100000
la,Latin,Latina,"137,076","275,487","3,681,870",21,"157,037",151,0,14,100000
cy,Welsh,Cymraeg,"134,91","273,738","11,087,724",16,"73,152",130,"11,264",43,100000
